iter	Passed	Remaining
0	169	169384
1	173	86413
2	180	59996
3	186	46345
4	189	37743
5	193	32014
6	197	28053
7	202	25148
8	206	22723
9	209	20784
10	214	19253
11	221	18226
12	224	17058
13	230	16241
14	234	15399
15	240	14788
16	244	14158
17	250	13663
18	253	13093
19	256	12584
20	260	12128
21	263	11713
22	266	11332
23	273	11107
24	307	11982
25	310	11634
26	313	11312
27	317	11021
28	339	11376
29	343	11098
30	346	10827
31	370	11210
32	429	12592
33	442	12575
34	449	12389
35	460	12330
36	466	12133
37	469	11890
38	473	11679
39	477	11459
40	484	11336
41	488	11136
42	493	10972
43	496	10792
44	504	10698
45	509	10563
46	513	10404
47	516	10250
48	520	10103
49	524	9964
50	528	9833
51	532	9708
52	589	10538
53	593	10400
54	604	10383
55	608	10261
56	612	10130
57	616	10008
58	623	9938
59	626	9814
60	671	10337
61	675	10223
62	679	10108
63	688	10066
64	692	9956
65	696	9853
66	703	9796
67	705	9666
68	709	9569
69	712	9470
70	718	9397
71	721	9305
72	725	9215
73	735	9209
74	739	9122
75	743	9039
76	752	9021
77	764	9040
78	768	8957
79	771	8875
80	775	8794
81	779	8729
82	783	8657
83	787	8590
84	790	8510
85	795	8455
86	797	8368
87	805	8343
88	808	8279
89	812	8212
90	816	8153
91	819	8090
92	822	8025
93	826	7966
94	830	7907
95	841	7927
96	845	7869
97	848	7812
98	852	7755
99	855	7703
100	859	7649
101	861	7580
102	864	7527
103	867	7477
104	877	7479
105	881	7430
106	884	7381
107	888	7339
108	892	7298
109	896	7254
110	900	7212
111	904	7171
112	908	7127
113	911	7086
114	916	7051
115	919	7006
116	923	6967
117	927	6930
118	930	6885
119	937	6873
120	940	6835
121	946	6808
122	948	6759
123	951	6725
124	955	6690
125	959	6655
126	967	6652
127	970	6608
128	974	6577
129	981	6566
130	984	6532
131	988	6498
132	991	6465
133	996	6438
134	1000	6408
135	1003	6377
136	1013	6387
137	1016	6352
138	1021	6325
139	1025	6298
140	1029	6271
141	1033	6245
142	1037	6220
143	1042	6195
144	1046	6169
145	1050	6143
146	1053	6115
147	1059	6101
148	1063	6074
149	1067	6050
150	1074	6040
151	1077	6012
152	1081	5987
153	1085	5960
154	1089	5940
155	1093	5914
156	1096	5887
157	1100	5863
158	1104	5841
159	1111	5835
160	1114	5810
161	1118	5785
162	1122	5763
163	1125	5737
164	1128	5712
165	1132	5689
166	1135	5665
167	1138	5640
168	1143	5624
169	1148	5605
170	1155	5600
171	1158	5577
172	1162	5554
173	1168	5548
174	1172	5527
175	1176	5510
176	1181	5495
177	1185	5472
178	1188	5450
179	1191	5428
180	1193	5398
181	1197	5382
182	1200	5360
